Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100n,C_0603_1608Metric,44.45,-40.64,180.0,bottom
C2,100n,C_0603_1608Metric,24.13,-40.64,0.0,bottom
C3,10uF 50V,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,8.89,-0.762,0.0,bottom
C4,10uF 50V,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,15.24,10.16,180.0,bottom
C5,100n,C_0603_1608Metric,19.05,9.665,90.0,bottom
C6,22uF 10V,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,22.86,8.89,180.0,bottom
C7,100n,C_0603_1608Metric,22.86,11.43,180.0,bottom
C8,22uF 10V,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,22.86,-5.08,180.0,bottom
C9,100n,C_0603_1608Metric,26.67,-2.54,180.0,bottom
C10,100n,C_0603_1608Metric,21.59,-20.32,270.0,bottom
C11,100n,C_0603_1608Metric,46.99,-20.32,90.0,bottom
C12,100n,C_0603_1608Metric,21.59,-11.43,270.0,bottom
C13,100n,C_0603_1608Metric,46.99,-11.43,90.0,bottom
C14,100n,C_0603_1608Metric,24.13,-58.42,0.0,bottom
C15,100n,C_0603_1608Metric,44.45,-58.42,180.0,bottom
C16,100n,C_0603_1608Metric,11.43,-7.62,270.0,bottom
C17,22uF 10V,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,9.398,6.604,90.0,bottom
C18,100n,C_0603_1608Metric,11.938,6.604,90.0,bottom
D1,SMF05CT1G,SOT-363_SC-70-6,19.05,-54.61,0.0,bottom
D2,SMF05CT1G,SOT-363_SC-70-6,49.53,-54.61,180.0,bottom
D3,SMF05CT1G,SOT-363_SC-70-6,20.32,-34.29,0.0,bottom
D4,SMF05CT1G,SOT-363_SC-70-6,48.26,-34.29,180.0,bottom
D5,SS36-E3/57T,D_SMC,3.146,6.35,0.0,bottom
D6,PESD5V0X1BCSFYL,D_0603_1608Metric,19.05,-20.32,90.0,bottom
D7,PESD5V0X1BCSFYL,D_0603_1608Metric,49.53,-20.32,270.0,bottom
D8,PESD5V0X1BCSFYL,D_0603_1608Metric,19.05,-11.43,90.0,bottom
D9,PESD5V0X1BCSFYL,D_0603_1608Metric,49.53,-11.43,270.0,bottom
D10,1N4148W,D_SOD-123,59.944,8.128,0.0,bottom
D11,1N4148W,D_SOD-123,30.48,10.795,0.0,bottom
