Comment,Designator,Footprint,LCSC
XL7045,U1,SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.29x3mm,C126474
22uF 25V,C13,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,C12891
2K7,R10,R_0603_1608Metric,C13167
10uF 50V,"C10,C11,C14,C3",C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,C13585
100nF 50V,"C1,C12,C15,C16,C18,C19,C21,C22,C4,C6",C_0603_1608Metric,C14663
SS210 100V 2A,"D1,D2,D5,D6,D8,D9",D_SMA,C14996
SMF05CT1G,D7,SOT-363_SC-70-6,C15879
RU6888M,"Q1,Q2,Q3,Q4",DFN-8-1EP_5.55x5.2mm_P1.27mm_EP4.12x4.6mm_MOSFET_3PIN,C180959
33n 50V,C9,C_0603_1608Metric,C21117
0R,R16,R_0603_1608Metric,C21189
1K,"R11,R19,R20,R21,R8",R_0603_1608Metric,C21190
1N4148WS,"D10,D11,D3,D4",D_SOD-323,C2128
22R,"R14,R15,R6,R7",R_0603_1608Metric,C23345
10K,"R13,R17,R3,R4",R_0603_1608Metric,C25804
210K,R5,R_0603_1608Metric,C25810
DGD05473FNQ,"U3,U5",U-DFN3030-10_3.1x3.1mm_P0.5mm_EP1.8x2.6mm_ThermalVias,C2677131
100nF 100V,"C17,C20,C7",C_0805_2012Metric,C28233
1uF 35V,C8,C_0805_2012Metric,C28323
23K2,R12,R_0603_1608Metric,C2930078
YNR8040-101M,L1,L_Taiyo-Yuden_NR-80xx,C341083
LD1117DT33TR,U2,TO-252-2,C36395
0.15R,R9,R_1206_3216Metric,C37936
INA169NA/3K,U4,SOT-23-5,C44322
8mΩ,"R1,R2",R_2512_6332Metric,C469375
SN74AHCT1G00DBVR,"U7,U8,U9",SOT-23-5,C473380
LMV321,U6,SOT-23-5,C7972
