Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100nF 50V,C_0603_1608Metric,-4.421499,-0.724501,180.0,bottom
C2,330uF 25V,CP_Radial_D10.0mm_P5.00mm,-5.669677,21.162,0.0,top
C3,10uF 50V,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,17.715,0.725,0.0,bottom
C4,100nF 50V,C_0603_1608Metric,0.381,4.445,0.0,bottom
C5,330uF 50V,CP_Radial_D12.5mm_P5.00mm,6.566041,24.765,0.0,top
C6,100nF 50V,C_0603_1608Metric,-14.986,-20.701,90.0,bottom
C7,100nF 100V,C_0805_2012Metric,17.715,13.425,270.0,bottom
C8,1uF 35V,C_0805_2012Metric,-3.302,21.402,90.0,bottom
C9,33n 50V,C_0603_1608Metric,-9.906,17.352,180.0,bottom
C10,10uF 50V,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,-11.176,25.48,90.0,bottom
C11,10uF 50V,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,-10.414,13.542,270.0,bottom
C12,100nF 50V,C_0603_1608Metric,-13.97,23.368,0.0,bottom
C13,22uF 25V,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,-20.828,19.812,90.0,bottom
C14,10uF 50V,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,17.715,-13.462,0.0,bottom
C15,100nF 50V,C_0603_1608Metric,-20.828,14.478,270.0,bottom
C16,100nF 50V,C_0603_1608Metric,-0.762,7.62,270.0,bottom
C17,100nF 100V,C_0805_2012Metric,0.41,-3.518501,0.0,bottom
C18,100nF 50V,C_0603_1608Metric,-7.366,7.607,270.0,bottom
C19,100nF 50V,C_0603_1608Metric,-11.176,7.112,180.0,bottom
C20,100nF 100V,C_0805_2012Metric,0.41,-14.732,0.0,bottom
C21,100nF 50V,C_0603_1608Metric,-4.538,-11.938,180.0,bottom
C22,100nF 50V,C_0603_1608Metric,-7.366,4.077,90.0,bottom
D1,SS210 100V 2A,D_SMA,0.508,26.274,90.0,bottom
D2,SS210 100V 2A,D_SMA,3.81,15.965,270.0,bottom
D3,1N4148WS,D_SOD-323,0.41,0.164499,180.0,bottom
D4,1N4148WS,D_SOD-323,0.41,-7.582501,180.0,bottom
D5,SS210 100V 2A,D_SMA,13.208,0.984,270.0,bottom
D6,SS210 100V 2A,D_SMA,13.208,-6.35,270.0,bottom
D7,SMF05CT1G,SOT-363_SC-70-6,-15.875,-6.35,90.0,bottom
D8,SS210 100V 2A,D_SMA,12.635,-15.785,270.0,bottom
D9,SS210 100V 2A,D_SMA,12.635,-23.405,270.0,bottom
D10,1N4148WS,D_SOD-323,0.41,-10.668,180.0,bottom
D11,1N4148WS,D_SOD-323,0.41,-18.796,180.0,bottom
D13,LED_RVMNT_ORANGE,LED_1206_3216Metric_ReverseMount_Hole1.8x2.4mm,-10.795,-22.86,0.0,bottom
D14,PESD5V0X1BCSFYL,D_0603_1608Metric,-4.826,7.62,90.0,bottom
D15,PESD5V0X1BCSFYL,D_0603_1608Metric,-11.176,5.08,0.0,bottom
D16,LED_RVMNT_GREEN,LED_1206_3216Metric_ReverseMount_Hole1.8x2.4mm,-10.795,-26.035,0.0,bottom
D17,LED_RVMNT_RED,LED_1206_3216Metric_ReverseMount_Hole1.8x2.4mm,-10.795,-29.21,0.0,bottom
L1,YNR8040-101M,L_Taiyo-Yuden_NR-80xx,-3.042,14.986,0.0,bottom
Q1,RU6888M,DFN-8-1EP_5.55x5.2mm_P1.27mm_EP4.12x4.6mm_MOSFET_3PIN,7.62,1.905,90.0,bottom
Q2,RU6888M,DFN-8-1EP_5.55x5.2mm_P1.27mm_EP4.12x4.6mm_MOSFET_3PIN,7.555,-6.01,90.0,bottom
Q3,RU6888M,DFN-8-1EP_5.55x5.2mm_P1.27mm_EP4.12x4.6mm_MOSFET_3PIN,7.555,-15.785,90.0,bottom
Q4,RU6888M,DFN-8-1EP_5.55x5.2mm_P1.27mm_EP4.12x4.6mm_MOSFET_3PIN,7.555,-23.405,90.0,bottom
R1,8mΩ,R_2512_6332Metric,12.635,11.43,270.0,bottom
R2,8mΩ,R_2512_6332Metric,8.255,11.43,270.0,bottom
R3,10K,R_0603_1608Metric,-15.875,-2.54,180.0,bottom
R4,10K,R_0603_1608Metric,-15.875,-12.065,180.0,bottom
R5,210K,R_0603_1608Metric,1.016,7.557,270.0,bottom
R6,22R,R_0603_1608Metric,0.41,-1.613501,180.0,bottom
R7,22R,R_0603_1608Metric,0.41,-5.550501,180.0,bottom
R8,1K,R_0603_1608Metric,-11.176,3.048,180.0,bottom
R9,0.15R,R_1206_3216Metric,-9.144,21.162,180.0,bottom
R10,2K7,R_0603_1608Metric,-8.128,14.304,90.0,bottom
R11,1K,R_0603_1608Metric,3.556,11.43,180.0,bottom
R12,23K2,R_0603_1608Metric,-9.906,18.876,0.0,bottom
R13,10K,R_0603_1608Metric,-2.794,7.62,270.0,bottom
R14,22R,R_0603_1608Metric,0.41,-12.7,180.0,bottom
R15,22R,R_0603_1608Metric,0.41,-16.764,180.0,bottom
R16,0R,R_0603_1608Metric,-16.764,-20.701,270.0,bottom
R17,10K,R_0603_1608Metric,-15.875,-9.525,180.0,bottom
R19,1K,R_0603_1608Metric,-6.35,-22.86,90.0,bottom
R20,1K,R_0603_1608Metric,-6.35,-26.035,90.0,bottom
R21,1K,R_0603_1608Metric,-6.35,-29.21,90.0,bottom
U1,XL7045,SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.29x3mm,-6.034,26.162,0.0,bottom
U2,LD1117DT33TR,TO-252-2,-15.747,16.729,270.0,bottom
U3,DGD05473FNQ,U-DFN3030-10_3.1x3.1mm_P0.5mm_EP1.8x2.6mm_ThermalVias,-4.675499,-3.518501,0.0,bottom
U4,INA169NA/3K,SOT-23-5,3.745,7.62,270.0,bottom
U5,DGD05473FNQ,U-DFN3030-10_3.1x3.1mm_P0.5mm_EP1.8x2.6mm_ThermalVias,-4.792,-14.732,0.0,bottom
U6,LMV321,SOT-23-5,-3.81,4.064,0.0,bottom
U7,SN74AHCT1G00DBVR,SOT-23-5,-3.175,-21.59,0.0,bottom
U8,SN74AHCT1G00DBVR,SOT-23-5,-3.175,-25.4,0.0,bottom
